Name,Price,Categories,Neighborhood,City,Rating
Blue Heaven,None,American,Bahama Village,Key West,8.869975186104218
Tuna Bar,$$$,"Japanese, Sushi",Old City District,Philadelphia,8.865880893300249
Beilers Doughnuts,$,Donuts,University City,Philadelphia,8.861786600496277
Mike's Pastry,$,"Bakery, Dessert",North End,Boston,8.861786600496277
Dizengoff,$,Middle Eastern,Center City West,Philadelphia,8.861786600496277
Sandy Pony Donuts,$,,,Annapolis,8.849503722084368
Cook Out,$,,,Alpharetta,8.845409429280398
Root Down Brewing Company,None,Brewery,,Phoenixville,8.841315136476426
Yocco's The Hot Dog King,None,,,Allentown,8.837220843672457
Yocco's The Hot Dog King,$,,,Allentown,8.837220843672457
Yocco's The Hot Dog King,$,,,Allentown,8.829032258064515
Arnold's Country Kitchen,$,"American, Southern",The Gulch,Nashville,8.824937965260546
Sonny's Famous Steaks,$,"American, Sandwiches",Old City District,Philadelphia,8.820843672456576
Jim's South St.,$,"American, Cheesesteaks",Queen Village,Philadelphia,8.816749379652606
Reading Terminal Mkt,None,Market,Center City,Philadelphia,8.812655086848636
KC Prime,$$$,,,Warrington,8.808560794044665
Riverwinds Restaurant,$$$,,,West Deptford,8.804466501240695
No Name Pub,$$,Pub,,Big Pine Key,8.800372208436725
Muddy Moose Restaurant & Pub,$$,Pub,North Conway,Conway,8.800372208436725
Fins Ale House & Raw Bar,$$,Seafood,,Rehoboth Beach,8.792183622828784
Claws Seafood House,$$,Seafood,,Rehoboth Beach,8.788089330024814
Pizzeria Stella,$$,"Italian, Pizza",Society Hill,Philadelphia,8.783995037220844
Barbuzzo,$$,Mediterranean,Gayborhood,Philadelphia,8.783995037220844
Stina Pizzeria,None,Pizza,Newbold,Philadelphia,8.775806451612903
Giacomo's Boston North End,$$,Italian,North End,Boston,8.771712158808933
Thrasher's French Fries,None,,,Rehoboth Beach,8.767617866004963
Salty Pineapple,None,,,New Hope,8.763523573200992
Twenty Manning,$$,American,Rittenhouse Square,Philadelphia,6.609293193717278
Giacomo's,$$,Italian,South End,Boston,6.609293193717278
Royal Scoop Homemade Ice Cream,$$,Ice Cream,,Bonita Springs,6.609293193717278
Serafina Back Bay,$$,"Italian, Pizza",Back Bay,Boston,6.609293193717278
Georgetown Cupcake,$$,"Bakery, Dessert",Back Bay East,Boston,6.592015706806283
Dan's Bar-B-Qued Chickens,None,,West Park,Allentown,6.587696335078534
Nudy's Cafe,$$,,,Paoli,8.759429280397022
Café Reggio,$$,"Cafe, Italian",South Village,New York,8.755334987593052
Left Bank,$$$,"American, European",West Village,New York,8.755334987593052
Crooked Hammock Brewery,None,Brewery,Crescent Beach,North Myrtle Beach,6.583376963350785
Steamers Restaurant & Sports Bar,$$,,,Chincoteague,8.755334987593052
The Grey Dog,$$,Cafe,South Village,New York,8.743052109181141
The Blue Dog,$$,American,Midtown West,New York,8.738957816377171
STK Steakhouse Midtown NYC,$$$,"American, Steakhouse",Midtown South,New York,8.734863523573202
Chelsea Market,None,Market,Chelsea,New York,8.73076923076923
Big Gay Ice Cream Shop,$$,Ice Cream,West Village,New York,8.73076923076923
The Collins Quarter,$$,"Bar, Cafe",Historic District - North,Savannah,8.72258064516129
Hymie's,$$,Delicatessen,Academyville,Merion Station,8.71848635235732
The Franklin Fountain,$$,Ice Cream,Old City,Philadelphia,8.71439205955335
Reading Terminal Market,$$,,Center City East,Philadelphia,8.71439205955335
Renzo's St Pete,$$,,,St. Petersburg,8.71439205955335
Red Mesa Cantina,$$,Mexican,Waterfront Arts District,St. Petersburg,8.70210918114144
The Original Greene Turtle,$$,,,Ocean City,8.698014888337468
Barcelona Wine Bar,$$,"Spanish, Tapas, Wine Bar",East Passyunk Crossing,Philadelphia,8.693920595533498
Stogie Joe's Tavern,$$,,East Passyunk Crossing,Philadelphia,8.693920595533498
Human Robot,None,,North Philadelphia East,Philadelphia,8.685732009925559
Di Bruno Bros. - The Franklin,None,,Center City East,Philadelphia,8.685732009925559
Steve's Prince of Steaks,$$,Sandwiches,Northeast Philadelphia,Philadelphia,8.677543424317617
Spring Hollow Golf Club,None,,,Spring City,8.673449131513648
